timestamp,container,cpu_pct,mem_usage,mem_pct
2026-04-20T18:00:52Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.145MiB / 512MiB,1.59%
2026-04-20T18:00:52Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,0.20%,117.6MiB / 2GiB,5.74%
2026-04-20T18:00:52Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,0.68%,321.6MiB / 2GiB,15.71%
2026-04-20T18:00:52Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,1.84%,7.219MiB / 1GiB,0.70%
2026-04-20T18:00:52Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.02%,9.93MiB / 512MiB,1.94%
2026-04-20T18:00:52Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,0.01%,46.4MiB / 4GiB,1.13%
2026-04-20T18:00:52Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,0.00%,47.72MiB / 512MiB,9.32%
2026-04-20T18:00:52Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,1.78%,277.8MiB / 1GiB,27.13%
2026-04-20T18:00:52Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.19%,268.8MiB / 1GiB,26.25%
2026-04-20T18:00:52Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,3.35%,450.8MiB / 1GiB,44.03%
2026-04-20T18:00:52Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,0.00%,47.38MiB / 31.3GiB,0.15%
2026-04-20T18:01:25Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,5.44%,354.6MiB / 12GiB,2.89%
2026-04-20T18:01:25Z,b319a3f7c7c16d044477f1836e37bece739792c56820f1477bd3f9c420075f5b,0.01%,3.996MiB / 256MiB,1.56%
2026-04-20T18:01:25Z,31cc36f9d7b820b5a02846978ca10a28a6483a2f5a0bd15a0c515d61ed0376bd,0.45%,1.921GiB / 9GiB,21.35%
2026-04-20T18:01:25Z,8f639fdc8d151413229eca21f87217a559da480dd40abcc549af038a7b53f813,0.64%,2.374GiB / 4GiB,59.35%
2026-04-20T18:01:25Z,88b3bd505d461a68892586d441b55222ba02f719ea3456235cd90ec9ac245ec1,0.00%,29.02MiB / 31.3GiB,0.09%
2026-04-20T18:01:25Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.117MiB / 512MiB,1.59%
2026-04-20T18:01:25Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,0.14%,117.4MiB / 2GiB,5.73%
2026-04-20T18:01:25Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,0.71%,321.6MiB / 2GiB,15.70%
2026-04-20T18:01:25Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,1.89%,7.23MiB / 1GiB,0.71%
2026-04-20T18:01:25Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.02%,9.906MiB / 512MiB,1.93%
2026-04-20T18:01:25Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,0.01%,46.36MiB / 4GiB,1.13%
2026-04-20T18:01:25Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,0.00%,47.72MiB / 512MiB,9.32%
2026-04-20T18:01:25Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,1.76%,277.8MiB / 1GiB,27.13%
2026-04-20T18:01:25Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.21%,268.8MiB / 1GiB,26.25%
2026-04-20T18:01:25Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,2.72%,314.8MiB / 1GiB,30.74%
2026-04-20T18:01:25Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,0.00%,47.03MiB / 31.3GiB,0.15%
2026-04-20T18:01:57Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,15.44%,354.9MiB / 12GiB,2.89%
2026-04-20T18:01:57Z,b319a3f7c7c16d044477f1836e37bece739792c56820f1477bd3f9c420075f5b,0.01%,4MiB / 256MiB,1.56%
2026-04-20T18:01:57Z,31cc36f9d7b820b5a02846978ca10a28a6483a2f5a0bd15a0c515d61ed0376bd,0.55%,1.921GiB / 9GiB,21.35%
2026-04-20T18:01:57Z,8f639fdc8d151413229eca21f87217a559da480dd40abcc549af038a7b53f813,0.75%,2.374GiB / 4GiB,59.35%
2026-04-20T18:01:57Z,88b3bd505d461a68892586d441b55222ba02f719ea3456235cd90ec9ac245ec1,0.00%,29.02MiB / 31.3GiB,0.09%
2026-04-20T18:01:57Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.117MiB / 512MiB,1.59%
2026-04-20T18:01:57Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,0.10%,117.4MiB / 2GiB,5.73%
2026-04-20T18:01:57Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,0.90%,321.6MiB / 2GiB,15.70%
2026-04-20T18:01:57Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,2.25%,7.465MiB / 1GiB,0.73%
2026-04-20T18:01:57Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.03%,9.91MiB / 512MiB,1.94%
2026-04-20T18:01:57Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,0.17%,46.37MiB / 4GiB,1.13%
2026-04-20T18:01:57Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,0.00%,47.73MiB / 512MiB,9.32%
2026-04-20T18:01:57Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,2.15%,278.1MiB / 1GiB,27.15%
2026-04-20T18:01:57Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.25%,268.8MiB / 1GiB,26.25%
2026-04-20T18:01:57Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,6.67%,449.9MiB / 1GiB,43.94%
2026-04-20T18:01:57Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,0.00%,47.03MiB / 31.3GiB,0.15%
2026-04-20T18:02:30Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,0.01%,354.6MiB / 12GiB,2.89%
2026-04-20T18:02:30Z,b319a3f7c7c16d044477f1836e37bece739792c56820f1477bd3f9c420075f5b,0.01%,4.008MiB / 256MiB,1.57%
2026-04-20T18:02:30Z,31cc36f9d7b820b5a02846978ca10a28a6483a2f5a0bd15a0c515d61ed0376bd,0.58%,1.921GiB / 9GiB,21.35%
2026-04-20T18:02:30Z,8f639fdc8d151413229eca21f87217a559da480dd40abcc549af038a7b53f813,0.71%,2.374GiB / 4GiB,59.35%
2026-04-20T18:02:30Z,88b3bd505d461a68892586d441b55222ba02f719ea3456235cd90ec9ac245ec1,0.00%,29.06MiB / 31.3GiB,0.09%
2026-04-20T18:02:30Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.117MiB / 512MiB,1.59%
2026-04-20T18:02:30Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,0.23%,117.5MiB / 2GiB,5.74%
2026-04-20T18:02:30Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,0.80%,321.6MiB / 2GiB,15.71%
2026-04-20T18:02:30Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,2.15%,7.473MiB / 1GiB,0.73%
2026-04-20T18:02:30Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.02%,9.91MiB / 512MiB,1.94%
2026-04-20T18:02:30Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,0.02%,46.36MiB / 4GiB,1.13%
2026-04-20T18:02:30Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,0.00%,47.72MiB / 512MiB,9.32%
2026-04-20T18:02:30Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,1.82%,277.8MiB / 1GiB,27.13%
2026-04-20T18:02:30Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.38%,268.8MiB / 1GiB,26.25%
2026-04-20T18:02:30Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,4.44%,313.9MiB / 1GiB,30.66%
2026-04-20T18:02:30Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,5.93%,47.04MiB / 31.3GiB,0.15%
2026-04-20T18:03:03Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,1.63%,354.6MiB / 12GiB,2.89%
2026-04-20T18:03:03Z,b319a3f7c7c16d044477f1836e37bece739792c56820f1477bd3f9c420075f5b,0.02%,4.004MiB / 256MiB,1.56%
2026-04-20T18:03:03Z,31cc36f9d7b820b5a02846978ca10a28a6483a2f5a0bd15a0c515d61ed0376bd,0.44%,1.921GiB / 9GiB,21.35%
2026-04-20T18:03:03Z,8f639fdc8d151413229eca21f87217a559da480dd40abcc549af038a7b53f813,0.63%,2.374GiB / 4GiB,59.35%
2026-04-20T18:03:03Z,88b3bd505d461a68892586d441b55222ba02f719ea3456235cd90ec9ac245ec1,0.00%,29.75MiB / 31.3GiB,0.09%
2026-04-20T18:03:03Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.121MiB / 512MiB,1.59%
2026-04-20T18:03:03Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,2.69%,117.5MiB / 2GiB,5.74%
2026-04-20T18:03:03Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,0.70%,321.6MiB / 2GiB,15.71%
2026-04-20T18:03:03Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,1.96%,7.469MiB / 1GiB,0.73%
2026-04-20T18:03:03Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.02%,9.91MiB / 512MiB,1.94%
2026-04-20T18:03:03Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,3.15%,46.57MiB / 4GiB,1.14%
2026-04-20T18:03:03Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,0.00%,47.72MiB / 512MiB,9.32%
2026-04-20T18:03:03Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,1.76%,277.8MiB / 1GiB,27.13%
2026-04-20T18:03:03Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.47%,268.8MiB / 1GiB,26.25%
2026-04-20T18:03:03Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,2.90%,449.7MiB / 1GiB,43.92%
2026-04-20T18:03:03Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,0.00%,46.91MiB / 31.3GiB,0.15%
2026-04-20T18:03:35Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,3.34%,354.5MiB / 12GiB,2.89%
2026-04-20T18:03:35Z,b319a3f7c7c16d044477f1836e37bece739792c56820f1477bd3f9c420075f5b,0.01%,4.086MiB / 256MiB,1.60%
2026-04-20T18:03:35Z,31cc36f9d7b820b5a02846978ca10a28a6483a2f5a0bd15a0c515d61ed0376bd,0.51%,1.921GiB / 9GiB,21.35%
2026-04-20T18:03:35Z,8f639fdc8d151413229eca21f87217a559da480dd40abcc549af038a7b53f813,0.68%,2.374GiB / 4GiB,59.35%
2026-04-20T18:03:35Z,88b3bd505d461a68892586d441b55222ba02f719ea3456235cd90ec9ac245ec1,0.01%,29.74MiB / 31.3GiB,0.09%
